"sub"	"oe"	"covid_vax_attitude"
1153	"I looked for the risk of severe side affects and the frequency of them"	"Neutral"
1154	"No. Just looked at country of origin and effects."	"Anti"
1155	"I don't trust any of the vaccines. I don't trust the people who support them. I don't trust the people who make them."	"Anti"
1156	"I was mainly interested in effectiveness and the side effects"	"Anti"
1157	"null"	"Anti"
1158	"No"	"Anti"
1159	"My main issue is long term or permanent side affects. If the only complications consisted of headaches or muscle soreness, I could handle that. I cannot handle heart problems or nervous system issues."	"Anti"
1160	"null"	"Anti"
1161	"I like my research behavior to produce facts rather than speculation to go on."	"Anti"
1162	"No"	"Neutral"
1163	"I only searched it because I was going to get it to just get it out of the way."	"Neutral"
1164	"null"	"Anti"
1165	"Usually country or type of method of delivery indicated was enough. I was less trusting of vaccines from China & India initially, though I would rather take those than an mRNA vaccine. I looked more at adverse outcome stats because I thought they would vary more than the positives."	"Anti"
1166	"null"	"Anti"
1167	"Looking for unbiased real facts from objective sources."	"Anti"
1168	"I really didn't go all to much into researching it (one reason why I'm not vaccinated) but when I was looking for information I was taking it either straight from the doctors or trustworthy people I know."	"Neutral"
1169	"null"	"Neutral"
1170	"I looked for all information that the vaccines had because it's better to get a full scope of what you're looking at before making a decision. Though I put more weight towards the effectiveness of the protection."	"Neutral"
1171	"null"	"Anti"
1172	"No, I am anti-vaxx in general so I refuse to get any sort of manmade injections. Holistic health is where its at, y'all should try it!"	"Anti"
1173	"I weighed the benefits vs risks while knowing that the data was very unlikely to be fully accurate."	"Anti"
1174	"Went by more type of side effect rather than frequency."	"Anti"
1175	"I generally hovered over each dark section & then moved to the right to see the relevant information. Then I went down the list accordingly. Sometimes, I came back & hovered over a piece of information a time or two more, just to make sure I felt comfortable with my decision & didn't doubt myself. During the study I tried to be open to being vaccinated, even though I am not currently & have no plans to be."	"Anti"
1176	"Checked out all the boxes"	"Anti"
1177	"null"	"Anti"
1178	"I compared benefits to risk. I did not give as much weight in my decision to the country of origin or manufacturer of the vaccnine."	"Anti"
1179	"I searched first for life altering side effects; such as facial paralysis, clots, and inflammation."	"Anti"
1180	"null"	"Anti"
1181	"i look at the effectiveness of the vaccine mainly then i look at the side effects ad how likely it'll be that i experience them"	"Anti"
1182	"null"	"Anti"
1183	"I just looked at all of it"	"Anti"
1184	"null"	"Neutral"
1185	"null"	"Anti"
1186	"Just basically went by whether or not they prevented death, as well as the side effects if it was something I could live with or not."	"Neutral"
1187	"null"	"Neutral"
1188	"i didn't have to. I don't vaccinate against anything"	"Anti"
1189	"I searched for information that would scare me. That is, I searched for side effects that I would personally not want to experience myself."	"Neutral"
1190	"i just get information from my family"	"Anti"
1191	"At first, to figure out the survey and how I could best answer to help your research, I searched the boxes. Then I realized, there is no reason to do so. I have already done my research, and continue daily in fact, I know much more than the average person regarding vaccines altogether, especially for this virus. There is no way that I will ever take the vax on my own volition. There are too many red flags and the coercion factors are extreme."	"Anti"
1192	"I looked at the side effects and the vaccine type and make my decision. Also, I'm young and healthy and at no risk of dying from covid."	"Anti"
1193	"I wanted to look at the ratings and see what was most beneficial to what the side effects were."	"Anti"
1194	"Don't need it"	"Neutral"
1195	"I looked primarily at the effectiveness of each vaccine and took note if there were any serious side effects."	"Pro"
1196	"Personal experience talking"	"Anti"
1197	"Biased against the vaccine"	"Neutral"
1198	"null"	"Anti"
1199	"I have had a lot of people whos gotten the vaccine have really bad side effects and were hospitalized for months... some died and some never been the same again after the vaccine"	"Anti"
